NEW_EVENT_TAG,Alliance 2,12 Mar 2017,3
Tom Fretwell,Sylvaneth
Alex Harrison,Order
James Chalmers,Sylvaneth
Paul Haley,Destruction
Lee Bromley,Death
Simon Partridge,Chaos
Chris Appleford,Death
Jonathan Latham,Disciples of Tzeentch
Nick Peart,Disciples of Tzeentch
Jonny Statham,Order
Adrian McWalter,Stormcast Eternals
Jon Green,Order
Adam Hazelwood,Order
Simon Eccles,Death
Ben Johnson,Stormcast Eternals
Nathan Hoole,Chaos
Andy Dunn,Stormcast Eternals
Tom Wall,Ironjawz
Adam Riley,Stormcast Eternals
Jon Rouston,Death
Gaz Taylor,Destruction
Keith Ball,Death
Robert Crouchley,Death
Andy Bryan,Stormcast Eternals
Chris Collett,Death
Colin Mather,Death
Paul Coram,Destruction
Gareth Ravenscroft,Chaos
Jon Barwise,Chaos
Ian Ralph,Sylvaneth
Tom Healey,Death
Rick Nightingale,Death
Dan Hadart,Stormcast Eternals
Craig Moore,Destruction
Mike Thomas,Chaos
Steve Wren,Disciples of Tzeentch
Steve Watson,Death
Rupert Read,Destruction
James Jacobs,Order
Mike Slowy,Chaos
