NEW_EVENT_TAG,Age of Sigmar at ValleyCon 2020,18-01-2020,5
Lee wilmot,Tempest Eye,5/0/0
Bo Paterson,Idoneth Deepkin,4/0/1
Mitch Harty,Skaven,3/0/1
Kerry Melody,Legion of Blood,3/0/1
Matt Britton,Ossiarch Bonereapers,4/0/1
Tre Winaka,Fyreslayers,3/0/2
Jonathan Ensor,Ogor Mawtribes,3/0/2
Shaun Bates,Stormcast Eternals,3/0/2
Aiden Nicol,Khorne Bloodbound,2/0/2
Regan O\'Halloran,Legion of Night,2/0/3
Mark Williams,Stormcast Eternals,2/0/3
Alexander Sinclair,Tzeentch Arcanites,2/0/3
Nicholas Jebsen,Ironjawz,2/0/3
Rohan Clark,Beasts of Chaos,2/0/3
Lachlan Ross,Hallowheart,2/0/3
Michael Stewart,Ossiarch Bonereapers,2/0/3
Ross Johnson,Gloomspite Gitz,2/0/3
Jared Angus,Slaves To Darkness,1/0/4
Luke Burrough,Skaven,1/0/4
Eli Herring,The Living City,0/0/4
Lee wilmot,Shaun Bates,Lee wilmot,Bo Paterson,Lee wilmot,Mitch Harty,Lee wilmot,Kerry Melody,Lee wilmot,Nicholas Jebsen
Bo Paterson,Regan OHalloran,Lee wilmot,Bo Paterson,Bo Paterson,Matt Britton,Bo Paterson,Tre Winaka,Bo Paterson,Mark Williams
Kerry Melody,Mitch Harty,Mitch Harty,Jonathan Ensor,Mitch Harty,Ross Johnson,Lee wilmot,Mitch Harty,Mitch Harty,Alexander Sinclair
Kerry Melody,Mitch Harty,Kerry Melody,Regan OHalloran,Kerry Melody,Eli Herring,Kerry Melody,Nicholas Jebsen,Lee wilmot,Kerry Melody
Matt Britton,Mark Williams,Matt Britton,Lachlan Ross,Bo Paterson,Matt Britton,Matt Britton,Regan OHalloran,Matt Britton,Rohan Clark
Tre Winaka,Nicholas Jebsen,Tre Winaka,Alexander Sinclair,Mark Williams,Tre Winaka,Bo Paterson,Tre Winaka,Tre Winaka,Lachlan Ross
Jonathan Ensor,Lachlan Ross,Mitch Harty,Jonathan Ensor,Jonathan Ensor,Rohan Clark,Regan OHalloran,Jonathan Ensor,Jonathan Ensor,Ross Johnson
Lee wilmot,Shaun Bates,Shaun Bates,Mark Williams,Shaun Bates,Alexander Sinclair,Michael Stewart,Shaun Bates,Shaun Bates,Jared Angus
Aiden Nicol,Jared Angus,Aiden Nicol,Eli Herring,Alexander Sinclair,Aiden Nicol,Aiden Nicol,Eli Herring,Rohan Clark,Aiden Nicol
Bo Paterson,Regan OHalloran,Kerry Melody,Regan OHalloran,Matt Britton,Regan OHalloran,Regan OHalloran,Jonathan Ensor,Regan OHalloran,Michael Stewart
Matt Britton,Mark Williams,Shaun Bates,Mark Williams,Mark Williams,Tre Winaka,Mark Williams,Luke Burrough,Bo Paterson,Mark Williams
Alexander Sinclair,Rohan Clark,Tre Winaka,Alexander Sinclair,Alexander Sinclair,Aiden Nicol,Shaun Bates,Alexander Sinclair,Mitch Harty,Alexander Sinclair
Tre Winaka,Nicholas Jebsen,Nicholas Jebsen,Luke Burrough,Kerry Melody,Nicholas Jebsen,Nicholas Jebsen,Eli Herring,Lee wilmot,Nicholas Jebsen
Alexander Sinclair,Rohan Clark,Rohan Clark,Jared Angus,Jonathan Ensor,Rohan Clark,Matt Britton,Rohan Clark,Rohan Clark,Aiden Nicol
Jonathan Ensor,Lachlan Ross,Matt Britton,Lachlan Ross,Lachlan Ross,Luke Burrough,Lachlan Ross,Jared Angus,Tre Winaka,Lachlan Ross
Michael Stewart,Eli Herring,Ross Johnson,Michael Stewart,Luke Burrough,Michael Stewart,Regan OHalloran,Michael Stewart,Michael Stewart,Shaun Bates
Ross Johnson,Luke Burrough,Ross Johnson,Michael Stewart,Jared Angus,Ross Johnson,Mitch Harty,Ross Johnson,Jonathan Ensor,Ross Johnson
Aiden Nicol,Jared Angus,Rohan Clark,Jared Angus,Jared Angus,Ross Johnson,Lachlan Ross,Jared Angus,Shaun Bates,Jared Angus
Ross Johnson,Luke Burrough,Nicholas Jebsen,Luke Burrough,Lachlan Ross,Luke Burrough,Luke Burrough,Michael Stewart,Mark Williams,Luke Burrough
Michael Stewart,Eli Herring,Aiden Nicol,Eli Herring,Kerry Melody,Eli Herring,Nicholas Jebsen,Eli Herring,Aiden Nicol,Eli Herring
