NEW_EVENT_TAG,HAMMERTIME II,29-08-2020,3
Alan Joynes,Lumineth Realmlords,3/0/0
Cole Wright,Maggotkin of Nurgle,3/0/0
James Beeden,Seraphon,3/0/0
Philipp Kartaev,Fyreslayers,3/0/0
Morrgoth,Seraphon,2/0/0
Benjamin Savva,Maggotkin of Nurgle,2/0/0
"Stuart ""...screamers???"" McCowan",Ogor Mawtribes,2/0/1
Tavi Gane,Seraphon,2/0/1
Jon Keightley,Fyreslayers,2/0/1
Anttu,Disciples Of Tzeentch,2/0/1
pauliswright,Idoneth Deepkin,2/0/1
Matthew Gouldesbrough,Idoneth Deepkin,2/0/1
Arthur Voulgaris,Kharadron Overlords,2/0/1
Charles Hollom,Beasts of Chaos,2/0/1
Bugi_bugi,Ossiarch Bonereapers,2/0/1
Maciej Mierzejewski,Skaven,2/0/1
TogII_U_later,Mixed,2/0/1
Adam James,Soulblight,2/0/1
Iuncta_Iuvant,Flesh Eater Courts,2/0/1
Tyler “Buckets” Pearson,Tempest Eye,2/0/1
John McKinley,Slaves To Darkness,1/0/2
Pask Made Me Bring This,Ironjawz,1/0/2
Adam Mumford,Anvilguard,1/0/2
Joshua McHale,Fyreslayers,1/0/2
Greg Hogan,Stormcast Eternals,1/0/2
Alex Bulavinov,Mixed,1/0/2
Josh Richardson,Tempest Eye,1/0/2
Matt Kent,Ogor Mawtribes,1/0/2
Aaron Wilson,Seraphon,1/0/2
Francesco Giardino,Disciples Of Tzeentch,1/0/2
Seb Made me Bring this,Ogor Mawtribes,1/0/2
DanielTheEverchosen,Seraphon,1/0/2
Jason Egli,Gloomspite Gitz,1/0/2
Daniel Elkington,Maggotkin of Nurgle,1/0/2
Erik Itter,Stormcast Eternals,1/0/2
Joseph Rolfe,Blades of Khorne,0/0/3
Will White,Slaves To Darkness,0/0/3
Sam Thomson,Mixed,0/0/3
Michael Peterson,Lumineth Realmlords,0/0/3
David Potts,Gloomspite Gitz,0/0/3
